top - 14:00:41 up 43 min,  1 user,  load average: 0.74, 0.68, 0.64
Tasks: 303 total,   2 running, 284 sleeping,   0 stopped,  17 zombie
%Cpu(s):  7.0 us,  2.3 sy,  0.0 ni, 89.9 id,  0.0 wa,  0.0 hi,  0.8 si,  0.0 st
MiB Mem :  15733.1 total,   8632.4 free,   2789.9 used,   4310.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  11764.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1965 shakti    20   0  581056  19776  17216 S   0.0   0.1   0:00.05 gnome-s+
   1963 shakti    20   0  235608   4740   4312 S   0.0   0.0   0:00.00 xdg-per+
   1959 shakti    20   0  162848   7456   6664 S   0.0   0.0   0:00.77 at-spi2+
   1947 shakti    20   0  236384   7196   6552 S   0.0   0.0   0:00.10 ibus-po+
   1945 shakti    20   0  193552  24036  17820 S   0.0   0.1   0:00.13 ibus-x11
   1943 shakti    20   0  272724  28676  17636 S   0.0   0.2   0:00.90 ibus-ex+
   1942 shakti    20   0  162712   7052   6420 S   0.0   0.0   0:00.00 ibus-me+
   1938 shakti    20   0  310956   8356   6844 S   0.0   0.1   0:00.16 ibus-da+
   1923 shakti    20   0  378356   6044   5444 S   0.0   0.0   0:00.00 gvfsd-f+
   1918 shakti    20   0  239728   7876   6864 S   0.0   0.0   0:00.06 gvfsd
   1900 shakti    20   0 4759468 287456 106304 S  20.0   1.8   2:07.40 gnome-s+
   1886 shakti    20   0  484064  15616  13052 S   0.0   0.1   0:00.09 gnome-s+
   1879 shakti    20   0   90072   4148   3732 S   0.0   0.0   0:00.00 gnome-s+
   1871 shakti    20   0    7380   4268   3804 S   0.0   0.0   0:00.18 dbus-da+
   1866 shakti    20   0  305428   6836   6204 S   0.0   0.0   0:00.00 at-spi-+
   1848 shakti    20   0    6044    456      0 S   0.0   0.0   0:00.00 ssh-age+
   1779 shakti    20   0  188096  13576  12072 S   0.0   0.1   0:00.03 gnome-s+
   1769 shakti    20   0  911248 155632 102580 S   0.0   1.0   1:41.05 Xorg
   1767 shakti    20   0  164028   6580   5948 S   0.0   0.0   0:00.00 gdm-x-s+
   1764 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1762 shakti    20   0   11020   8248   3912 S   0.0   0.1   0:00.90 dbus-da+
   1757 shakti    20   0  240164   7696   6720 S   0.0   0.0   0:00.13 gnome-k+
   1754 shakti     9 -11 3318048  20388  15496 S   0.0   0.1   0:00.22 pulseau+
   1749 shakti    20   0  169728   3516     12 S   0.0   0.0   0:00.00 (sd-pam)
   1748 shakti    20   0   19904  10748   8320 S   0.0   0.1   0:00.49 systemd
   1737 root      20   0  314664  10048   8404 S   0.0   0.1   0:00.04 gdm-ses+
   1457 colord    20   0  246288  14620   9360 S   0.0   0.1   0:00.17 colord
   1247 rtkit     21   1  152936   2948   2708 S   0.0   0.0   0:00.02 rtkit-d+
   1223 root      20   0  239624   8588   7404 S   0.0   0.1   0:00.04 gdm3
   1217 kernoops  20   0   11272    444      0 S   0.0   0.0   0:00.06 kernelo+
   1215 kernoops  20   0   11272    448      0 S   0.0   0.0   0:00.05 kernelo+
   1214 whoopsie  20   0  253156  15628  13720 S   0.0   0.1   0:00.05 whoopsie
   1178 root      20   0  252372   9672   8276 S   0.0   0.1   0:00.42 upowerd
   1174 root      20   0  118148  22992  14856 S   0.0   0.1   0:00.09 unatten+
   1041 www-data  20   0 1932324   4368   2812 S   0.0   0.0   0:00.00 apache2
   1040 www-data  20   0 1997860   4368   2812 S   0.0   0.0   0:00.00 apache2
   1039 root      20   0    6540   4556   3372 S   0.0   0.0   0:00.11 apache2
   1033 root      20   0    8372   4648   4284 S   0.0   0.0   0:00.02 bluetoo+
    981 root      20   0  315124  11420   9608 S   0.0   0.1   0:00.11 ModemMa+
    976 root      20   0  176496  12600  10936 S   0.0   0.1   0:00.07 cups-br+
    948 avahi     20   0    8348    328      0 S   0.0   0.0   0:00.00 avahi-d+
    934 root      20   0   14212   9268   8140 S   0.0   0.1   0:00.36 wpa_sup+
    933 root      20   0  393696  12460  10108 S   0.0   0.1   0:00.16 udisksd
    932 root      20   0  273772   9432   8588 S   0.0   0.1   0:04.49 thermald
    927 root      20   0   17448   8192   7092 S   0.0   0.1   0:00.41 systemd+
    919 root      20   0  235612   6016   5464 S   0.0   0.0   0:00.02 switche+
    905 syslog    20   0  224352   4564   3788 S   0.0   0.0   0:00.16 rsyslogd
    903 root      20   0  241088  13116   7196 S   0.0   0.1   0:02.00 polkitd
    900 root      20   0   39724  20668  11984 S   0.0   0.1   0:00.15 network+
